"","","title","address","access","age","floor","fee","manegement_fee","deposit","gratuity","madori","menseki","link","image","date"
"14","14","ＪＲ山手線 代々木駅 5階建 築54年","東京都渋谷区代々木４","
ＪＲ山手線/代々木駅 歩14分
小田急線/参宮橋駅 歩8分
京王新線/初台駅 歩8分
","
築54年
5階建
","
											4階","13.4万円","5000円","13.4万円","-","1LDK","40.3m2","https://suumo.jp//chintai/jnc_000073481298/?bc=100269095073","https://img01.suumo.com/front/gazo/fr/bukken/073/100269095073/100269095073_co.jpg",""
"15","15","ＪＲ山手線 代々木駅 5階建 築54年","東京都渋谷区代々木４","
ＪＲ山手線/代々木駅 歩14分
小田急線/参宮橋駅 歩8分
京王新線/初台駅 歩8分
","
築54年
5階建
","
											3階","13.5万円","5000円","13.5万円","-","1LDK","40.3m2","https://suumo.jp//chintai/jnc_000073481297/?bc=100299659726","https://img01.suumo.com/front/gazo/fr/bukken/726/100299659726/100299659726_co.jpg",""
"16","16","京王新線 幡ヶ谷駅 3階建 築28年","東京都渋谷区本町１","
京王新線/幡ヶ谷駅 歩5分
京王新線/初台駅 歩6分
東京メトロ千代田線/代々木上原駅 歩15分
","
築28年
3階建
","
											3階","13万円","5000円","13万円","-","2LDK","43.42m2","https://suumo.jp//chintai/jnc_000018010221/?bc=100297350935","https://img01.suumo.com/front/gazo/fr/bukken/935/100297350935/100297350935_co.jpg",""
"17","17","都営大江戸線 西新宿五丁目駅 12階建 築44年","東京都渋谷区本町３","
都営大江戸線/西新宿五丁目駅 歩6分
京王新線/初台駅 歩7分
京王新線/幡ヶ谷駅 歩17分
","
築44年
12階建
","
											9階","11.9万円","5000円","11.9万円","-","2LDK","41.3m2","https://suumo.jp//chintai/jnc_000074979942/?bc=100291573747","https://img01.suumo.com/front/gazo/fr/bukken/747/100291573747/100291573747_co.jpg",""
"18","18","京王新線 幡ヶ谷駅 5階建 築51年","東京都渋谷区初台２","
京王新線/幡ヶ谷駅 歩7分
京王新線/初台駅 歩7分
小田急線/代々木上原駅 歩13分
","
築51年
5階建
","
											3階","11.5万円","3000円","11.5万円","11.5万円","2LDK","45.3m2","https://suumo.jp//chintai/jnc_000077072298/?bc=100298578694","https://img01.suumo.com/front/gazo/fr/bukken/694/100298578694/100298578694_co.jpg",""
"19","19","京王新線 幡ヶ谷駅 3階建 築6年","東京都渋谷区本町６","
京王新線/幡ヶ谷駅 歩12分
京王新線/初台駅 歩9分
都営大江戸線/西新宿五丁目駅 歩15分
","
築6年
3階建
","
											1階","12.9万円","3000円","12.9万円","12.9万円","1LDK","40.99m2","https://suumo.jp//chintai/jnc_000067608694/?bc=100297395024","https://img01.suumo.com/front/gazo/fr/bukken/024/100297395024/100297395024_co.jpg",""
"20","20","ラフィネ参宮橋レジデンス　（旧代々木シャトー","東京都渋谷区代々木４","
小田急線/参宮橋駅 歩6分
京王新線/初台駅 歩7分
都営大江戸線/都庁前駅 歩18分
","
築54年
5階建
","
											4階","13.4万円","5000円","13.4万円","-","1LDK","40.3m2","https://suumo.jp//chintai/jnc_000073481292/?bc=100294725511","https://img01.suumo.com/front/gazo/fr/bukken/511/100294725511/100294725511_co.jpg",""
"21","21","ラフィネ参宮橋レジデンス　（旧代々木シャトー","東京都渋谷区代々木４","
小田急線/参宮橋駅 歩6分
京王新線/初台駅 歩7分
都営大江戸線/都庁前駅 歩18分
","
築54年
5階建
","
											3階","13.5万円","5000円","13.5万円","-","1LDK","40m2","https://suumo.jp//chintai/jnc_000073481290/?bc=100294725483","https://img01.suumo.com/front/gazo/fr/bukken/483/100294725483/100294725483_co.jpg",""
"22","","カルデア","東京都渋谷区本町６","
京王新線/初台駅 歩9分
京王新線/幡ヶ谷駅 歩11分
都営大江戸線/西新宿五丁目駅 歩14分
","
築6年
3階建
","
											1階","12.9万円","3000円","12.9万円","12.9万円","1LDK","40.99m2","https://suumo.jp//chintai/jnc_000066542563/?bc=100297443222","https://img01.suumo.com/front/gazo/fr/bukken/222/100297443222/100297443222_co.jpg","2022-10-14"
"23","","京王新線 幡ヶ谷駅 5階建 築51年","東京都渋谷区初台２","
京王新線/幡ヶ谷駅 歩7分
京王新線/初台駅 歩7分
小田急線/代々木上原駅 歩18分
","
築51年
5階建
","
											3階","11.5万円","3000円","11.5万円","11.5万円","2LDK","45.3m2","https://suumo.jp//chintai/jnc_000077072298/?bc=100298718602","https://img01.suumo.com/front/gazo/fr/bukken/602/100298718602/100298718602_co.jpg","2022-10-14"
"24","","京王新線 初台駅 6階建 築31年","東京都渋谷区西原１","
京王新線/初台駅 歩8分
東京メトロ千代田線/代々木公園駅 歩12分
小田急線/代々木上原駅 歩12分
","
築31年
6階建
","
											3階","13.5万円","-","13.5万円","13.5万円","2LDK","46.17m2","https://suumo.jp//chintai/jnc_000032202018/?bc=100300570814","https://img01.suumo.com/front/gazo/fr/bukken/814/100300570814/100300570814_co.jpg","2022-10-17"
"25","","カルデア","東京都渋谷区本町６","
京王新線/初台駅 歩9分
京王新線/幡ヶ谷駅 歩11分
都営大江戸線/西新宿五丁目駅 歩14分
","
築6年
3階建
","
											1階","12.9万円","3000円","12.9万円","12.9万円","1LDK","40.99m2","https://suumo.jp//chintai/jnc_000066542563/?bc=100297495321","https://img01.suumo.com/front/gazo/fr/bukken/321/100297495321/100297495321_co.jpg","2022-10-17"
"26","","京王新線 初台駅 4階建 築28年","東京都渋谷区代々木４","
京王新線/初台駅 歩3分
小田急線/参宮橋駅 歩6分
ＪＲ山手線/新宿駅 歩17分
","
築28年
4階建
","
											1階","11.8万円","10000円","11.8万円","11.8万円","1LDK","40m2","https://suumo.jp//chintai/jnc_000077454331/?bc=100300626309","https://img01.suumo.com/front/gazo/fr/bukken/309/100300626309/100300626309_co.jpg","2022-10-17"
"27","","京王新線 初台駅 3階建 築6年","東京都渋谷区本町６","
京王新線/初台駅 歩9分
京王新線/幡ヶ谷駅 歩11分
都営大江戸線/西新宿五丁目駅 歩14分
","
築6年
3階建
","
											1階","12.9万円","3000円","12.9万円","12.9万円","1LDK","40.99m2","https://suumo.jp//chintai/jnc_000067608694/?bc=100297395950","https://img01.suumo.com/front/gazo/fr/bukken/950/100297395950/100297395950_co.jpg","2022-10-17"
"28","","パサージュ京西","東京都渋谷区本町３","
都営大江戸線/西新宿五丁目駅 歩8分
京王新線/初台駅 歩10分
都営大江戸線/都庁前駅 歩19分
","
築44年
12階建
","
											8階","11.9万円","5000円","11.9万円","11.9万円","2LDK","41.3m2","https://suumo.jp//chintai/jnc_000077428743/?bc=100300648982","https://img01.suumo.com/front/gazo/fr/bukken/982/100300648982/100300648982_co.jpg","2022-10-17"
"29","","都営大江戸線 西新宿五丁目駅 12階建 築44年","東京都渋谷区本町３","
都営大江戸線/西新宿五丁目駅 歩6分
京王新線/初台駅 歩7分
京王新線/幡ヶ谷駅 歩17分
","
築44年
12階建
","
											8階","11.9万円","5000円","11.9万円","11.9万円","2LDK","41.3m2","https://suumo.jp//chintai/jnc_000077435595/?bc=100291573747","https://img01.suumo.com/front/gazo/fr/bukken/747/100291573747/100291573747_co.jpg","2022-10-17"
"30","","カルデア","東京都渋谷区本町６","
京王新線/初台駅 歩9分
都営大江戸線/西新宿五丁目駅 歩14分
東京メトロ丸ノ内線/中野新橋駅 歩19分
","
築6年
3階建
","
											1階","12.9万円","3000円","12.9万円","12.9万円","1LDK","40.99m2","https://suumo.jp//chintai/jnc_000066542563/?bc=100297562833","https://img01.suumo.com/front/gazo/fr/bukken/833/100297562833/100297562833_co.jpg","2022-10-17"
"31","","パサージュ京西","東京都渋谷区本町３","
都営大江戸線/西新宿五丁目駅 歩8分
京王新線/初台駅 歩10分
都営大江戸線/都庁前駅 歩19分
","
築44年
12階建
","
											8階","11.9万円","5000円","11.9万円","11.9万円","2LDK","41.3m2","https://suumo.jp//chintai/jnc_000077428743/?bc=100300614165","https://img01.suumo.com/front/gazo/fr/bukken/165/100300614165/100300614165_co.jpg","2022-10-17"
